codigo_dane,departamento,municipio,subregion,habitantes,temperatura_promedio,altura,festival,fecha,sitio_1,maps_1,sitio_2,maps_2,sitio_3,maps_3,hotel_1,wa_1,hotel_2,wa_2,hotel_3,wa_3,latitud,longitud,fuente_geo,bandera_url
"15480","Boyacá","Muzo","","10237.0","20.5","875.0","","","","","","","","","","","","","","","5.52897","-74.10129","geonames",""
"15491","Boyacá","Nobsa","","15194.0","14.2","2503.0","","","","","","","","","","","","","","","5.74733","-72.95604","geonames",""
"15494","Boyacá","Nuevo Colón","","6075.0","12.9","2393.0","","","","","","","","","","","","","","","5.35384","-73.4497","geonames",""
"15500","Boyacá","Oicatá","","2822.0","11.9","2725.0","","","","","","","","","","","","","","","5.57477","-73.31138","geonames",""
"15507","Boyacá","Otanche","","6997.0","20.6","1075.0","","","","","","","","","","","","","","","5.65672","-74.18249","geonames",""
"15511","Boyacá","Pachavita","","2508.0","15.5","1885.0","","","","","","","","","","","","","","","5.14857","-73.39937","geonames",""
"15514","Boyacá","Páez","","31800.0","12.5","2406.0","","","","","","","","","","","","","","","2.75","-76.0","geonames",""
"15516","Boyacá","Paipa","","27766.0","9.8","3132.0","","","","","","","","","","","","","","","5.82977","-73.23086","geonames",""
"15518","Boyacá","Pajarito","","2410.0","15.9","1836.0","","","","","","","","","","","","","","","5.34751","-72.72075","geonames",""
"15522","Boyacá","Panqueba","","1859.0","11.1","2895.0","","","","","","","","","","","","","","","6.40494","-72.47515","geonames",""
"15531","Boyacá","Pauna","","6355.0","19.7","1080.0","","","","","","","","","","","","","","","5.65861","-73.9825","geonames",""
"15533","Boyacá","Paya","","2648.0","17.8","1509.0","","","","","","","","","","","","","","","5.664","-72.37473","geonames",""
"15537","Boyacá","Paz de Río","","5258.0","10.3","1800.0","","","","","","","","","","","","","","","6.00219","-72.78857","geonames",""
"15542","Boyacá","Pesca","","9762.0","10.8","2965.0","","","","","","","","","","","","","","","5.50213","-73.08794","geonames",""
"15550","Boyacá","Pisba","","1533.0","16.5","1746.0","","","","","","","","","","","","","","","5.74278","-72.48944","geonames",""
"15572","Boyacá","Puerto Boyacá","","55286.0","25.5","167.0","","","","","","","","","","","","","","","5.97214","-74.46349","geonames",""
"15580","Boyacá","Quípama","","8793.0","18.4","1362.0","","","","","","","","","","","","","","","5.5588","-74.21664","geonames",""
"15599","Boyacá","Ramiriquí","","10789.0","9.3","2955.0","","","","","","","","","","","","","","","5.31971","-73.31137","geonames",""
"15600","Boyacá","Ráquira","","12522.0","12.5","2669.0","","","","","","","","","","","","","","","5.48395","-73.65658","geonames",""
"15621","Boyacá","Rondón","","3011.0","14.9","1968.0","","","","","","","","","","","","","","","5.38173","-73.19683","geonames",""
"15632","Boyacá","Saboyá","","12957.0","11.9","2719.0","","","","","","","","","","","","","","","5.68787","-73.78139","geonames",""
"15638","Boyacá","Sáchica","","3868.0","15.8","2177.0","","","","","","","","","","","","","","","5.57438","-73.54345","geonames",""
"15646","Boyacá","Samacá","","17614.0","8.3","3308.0","","","","","","","","","","","","","","","5.44739","-73.55009","geonames",""
"15660","Boyacá","San Eduardo","","1924.0","19.4","1262.0","","","","","","","","","","","","","","","5.20402","-73.07286","geonames",""
"15664","Boyacá","San José de Pare","","5719.0","15.6","1886.0","","","","","","","","","","","","","","","5.97681","-73.55959","geonames",""
