codigo_dane,departamento,municipio,subregion,provincia,categoria_municipal,cabecera_municipal,poblacion,altitud_ms_nm,temperatura_promedio,superficie_km2,latitud,longitud,anio_fundacion,gentilicio,festival_principal,fecha_inicio,fecha_fin,descripcion_festival,sitio_1,maps_1,sitio_2,maps_2,sitio_3,maps_3,hotel_1,wa_1,hotel_2,wa_2,hotel_3,wa_3,fuente_datos,estado_enriquecimiento,observaciones
05674,Antioquia,San Vicente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05679,Antioquia,Santa Bárbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05686,Antioquia,Santa Rosa de Osos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05690,Antioquia,Santo Domingo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05697,Antioquia,El Santuario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05736,Antioquia,Segovia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05756,Antioquia,Sonson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05761,Antioquia,Sopetrán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05789,Antioquia,Támesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05790,Antioquia,Tarazá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05792,Antioquia,Tarso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05809,Antioquia,Titiribí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05819,Antioquia,Toledo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05837,Antioquia,Turbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05842,Antioquia,Uramita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05847,Antioquia,Urrao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05854,Antioquia,Valdivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05856,Antioquia,Valparaíso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05858,Antioquia,Vegachí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05861,Antioquia,Venecia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05873,Antioquia,Vigía del Fuerte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05885,Antioquia,Yalí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05887,Antioquia,Yarumal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05890,Antioquia,Yolombó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05893,Antioquia,Yondó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05895,Antioquia,Zaragoza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
08001,Atlántico,Barranquilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
08078,Atlántico,Baranoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
08137,Atlántico,Campo de La Cruz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
08141,Atlántico,Candelaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
08296,Atlántico,Galapa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
08372,Atlántico,Juan de Acosta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
08421,Atlántico,Luruaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
08433,Atlántico,Malambo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
