codigo_dane,departamento,municipio,subregion,provincia,categoria_municipal,cabecera_municipal,poblacion,altitud_ms_nm,temperatura_promedio,superficie_km2,latitud,longitud,anio_fundacion,gentilicio,alcalde_actual,bandera_url,sitios_turisticos,hoteles,hospedajes,contacto_hoteles,festividad_nombre,festividad_fecha_inicio,festividad_fecha_fin,festividad_fecha_texto,resena_festividad,fuente_base,fuente_festividad,fuente_turismo,fuente_hoteles,fuente_alcalde,observaciones,estado_revision
05656,Antioquia,San Jerónimo,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05658,Antioquia,San José de La Montaña,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05659,Antioquia,San Juan de Urabá,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05660,Antioquia,San Luis,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05664,Antioquia,San Pedro,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05665,Antioquia,San Pedro de Uraba,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05667,Antioquia,San Rafael,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05670,Antioquia,San Roque,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05674,Antioquia,San Vicente,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05679,Antioquia,Santa Bárbara,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05686,Antioquia,Santa Rosa de Osos,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05042,Antioquia,Santafé de Antioquia,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05690,Antioquia,Santo Domingo,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05736,Antioquia,Segovia,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05756,Antioquia,Sonson,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05761,Antioquia,Sopetrán,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05789,Antioquia,Támesis,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05790,Antioquia,Tarazá,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05792,Antioquia,Tarso,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05809,Antioquia,Titiribí,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05819,Antioquia,Toledo,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05837,Antioquia,Turbo,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05842,Antioquia,Uramita,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05847,Antioquia,Urrao,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05854,Antioquia,Valdivia,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05856,Antioquia,Valparaíso,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05858,Antioquia,Vegachí,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05861,Antioquia,Venecia,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05873,Antioquia,Vigía del Fuerte,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05885,Antioquia,Yalí,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05887,Antioquia,Yarumal,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05890,Antioquia,Yolombó,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
